FRESH,GROCERY,FROZEN,HOSTEL_OR_RETAIL
7915,2591,1170,0
7936,3133,2088,0
7975,3354,61741,0
7978.5,4512,43274,0
8054,585,1112,0
8087.5,34527,1466,1
8106,3125.5,28882,0
8147.5,3930,9724,0
8204.5,2109,26378,0
8249,3417,5679,0
8272,3990,69748,0
8304,85412,61089,1
8308,1167,2069,0
8310.5,65020,704.5,1
8311,2678.5,48782,0
8333,18596,68.5,1
8362,14682,398,1
8363,3009,430,0
8433.5,44589,3749.5,1
8452,4042,9735,0
8492.5,2158,41284,0
8513,2824,1218,0
8517,82.5,51076,0
8563.5,75798,27852,0
8569.5,2006,63131,0
8592,1499,784,0
8596,111.5,60568,0
8612.5,2537,43655,0
8640,1563,1120,0
8655,4684,36125,0
8663,3007,416,0
8690,26316,1456,1
8721.5,57637,2328,1
8743,9785,364,1
8768,3972.5,37529,0
8809.5,4888,35413,0
8865.5,30081,42073,1
8895,16670,21776,0
8902,70889,819,1
8907,19805,937,1
8962,2313,25693,0
8990,3823,142,0
9014,1260.5,21967,0
9051,2566,64899,0
9078,3994,50607,0
9192,1625,63888,0
9241,1235.5,10584,0
9255,1094,6818,0
9258,13430,1116,1
9261,2974,806,0
9280,1668,1492,0
9334,4910,2198,0
9383,10518,443,0
9391,10391,130,1
9407,16483,575,0
9440.5,104488,1627.5,1
9504.5,3289.5,81398,0
9524,1242,1619,0
9526,1980,3860,0
9560.5,101578,1841,1
9561,2201,2679,0
9622,10704,133,1
9643,2405,12569,0
9680,3047,2312,0
9700.5,75,63472,0
9704,11364,913,1
9739,5234,417,1
9740,2661,8872,0
9765,64542,1763.5,1
9771.5,30816,1640.5,1
9777,1461.5,61574,0
9780,3281,1535,0
9788.5,2812,52237,0
9807,2174,720,0
9837.5,1647,6502,0
9877,6869,529,0
9882.5,1494,56463,0
9912,39803,2151.5,1
9915,14403,283,1
9930,18622,133,1
9931.5,3452.5,46546,0
9955.5,128081,1666,1
9964,1349.5,71187,0
10007.5,72081,15908,1
10029,683,16919,0
10031,24773,617,1
10048.5,1051,43153,0
10054.5,84298,1698.5,1
10062,3261,2507,0
10070.5,1207.5,30999,0
10073.5,33166,2964.5,1
10077,5005,1057,0
10078,2062,1291,0
10083.5,4958.5,59710,0
10126,104853,2829,1
10176,4740,7683,0
10210,2500,4477,0
10225,2177,926,0
10237,1290,49265,0
10241,11238,767,1
10293,39604,334,1
10296.5,3688.5,21524,0
10361,6192,425,0
10382,2699,57683,0
10389,378.5,14675,0
10390.5,3543.5,26971,0
10413.5,96305,1496,1
10441,25094,2852,1
10443,9819,6269,0
10461,56110,1072.5,1
10488,699,6316,0
10513,12974,4400,1
10527.5,89832,1782,1
10564,935,1601,0
10621,4563,1389,0
10626.5,77490,868.5,1
10776,9464,669,0
10777,7677,2561,1
10825,15541,2693,1
10860,50,40617,0
10872,1235,436,0
10891.5,51267,1537.5,1
10916,12121,134,1
10991,1069.5,52810,0
10992,10391,1127,1
10994,2144,21358,0
11006,2405,4447,0
11023.5,2104.5,11287,0
11039,1172,1677,0
11046.5,3154,52366,0
11113,9618,930,1
11114,95019,730,1
11115,13227,25,0
11132,4870.5,7772,0
11134,6861,1329,0
11142.5,82652,2627,1
11145,36800,25620,0
11150,2755.5,41900,0
11164,6981,247,1
11170.5,2581,39450,0
11188,11532,744,1
11203,8282,661,0
11208,1263,2921,0
11231.5,73,38165,0
11237,2147,3896,0
11295,3343,825,0
11295.5,4173,38087,0
11316,1293,779,0
11345,79707,195,1
11393,1883,5004,0
11415,7015,46858,0
11421,4644,36232,0
11490.5,2781,57953,0
11534,1529.5,51507,0
11566,2611,8170,0
11599,1422,3019,0
11608.5,12874,3328.5,1
11627,11055,364,0
11630,46453,800.5,1
11662.5,518,19151,0
11692,2861,3151,0
11779,3821,397,0
11796.5,52589,2289.5,1
11797,23998,787,1
11820,6986,1455,1
11831,82940,26738,0
11851.5,32469,2122.5,1
11860,7854,96,1
11885,11874,52,1
11923,1777,1777,0
12000,13916,230,1
12017,15445,61,1
12030,5380,1647,0
12067,2356.5,35622,0
12108,2067,2096,0
12114.5,548,18215,0
12126,2070,6340,0
12129,1491,6937,0
12163,1909,5639,0
12165,5167,2714,0
12201.5,439,62090,0
12225,1664,1173,0
12252,42942,2149.5,1
12277,6633,17866,0
12297,2112,520,0
12303,14855,317,1
12319,1096,8425,0
12355,9965,934,1
12361,1638,3347,0
12382,2501,6845,0
12430,1513.5,53054,0
12433,1293.5,51756,0
12481,6407,1646,1
12500,1679.5,8146,0
12514,1641,876,0
12524,1545,57043,0
12537,2988,2715,0
12585.5,1568,41647,0
12617,3839.5,23297,0
12619,5109,3570,0
12646,4569,146542,0
12654.5,3238,43028,0
12661,45816,21,1
12666,1434,42849,0
12671.5,60754,1053,1
12714.5,3190.5,56125,0
12721,582,5390,0
12759,2183,38010,0
12773,1306,60390,0
12781,2173,24159,0
12801,3993,5870,0
12801,2277.5,48978,0
12829.5,1703.5,38780,0
12858,3580,47,0
12873,105522,69105,0
12891.5,75592,939,1
12896.5,3418,48434,0
12898,22182,2221,1
12994,3600.5,20027,0
13010.5,5518,43062,0
13034,2864.5,42109,0
13065,8584,2540,1
13066,2030,40652,0
13098.5,7592,10071,0
13100,8040,129,0
13102,2707,1286,0
13137,123805,30838,1
13138,10646,91,0
13155,194,53509,0
13168,78616,608.5,1
13192,13586,5641,1
13224,3330,35826,0
13250,3326.5,60331,0
13273,245,1991,0
13282,49377,3336,1
13342.5,80608,336,1
13354,63558,49904,0
13364,2885.5,31584,0
13393,8852,799,1
13512,3828,1439,0
13528,23596,955,1
13549,92196,28419,0
13568.5,2170,66568,0
13583,1403.5,26405,0
13625,1614,2583,0
13645,7647,1483,0
13645.5,80359,113.5,1
13664,28245,1847,1
13671.5,44125,1966,1
13694,3204,1398,0
13845,1299,41297,0
13856,3200.5,59745,0
13894,15205,1285,1
13916,3355,1517,0
13925,8025,1619,1
13942.5,62187,4305.5,1
13944,1428,6838,0
13985.5,92652,1153,1
13985.5,3550.5,64227,0
13992,7282,50955,0
14003,1381,890,0
14004.5,8880.5,77114,0
14006.5,2915.5,29846,0
14031,67257,5248.5,1
14039,855.5,31977,0
14068,16267,1593,1
14113,1029,36945,0
14116.5,83585,355.5,1
14120,75325,834.5,1
14130.5,318,70172,0
14165,2223,633,0
14205,766.5,61055,0
14223,62018,27045,1
14239.5,71339,2496.5,1
14242.5,3312,58826,0
14257.5,16029,24997,0
14267,11522,275,1
14306.5,239.5,40270,0
14313,838.5,25806,0
14325,2991.5,34867,0
14340,2368,779,0
14372,5315.5,12846,0
14391,22294,1741,1
14396,2232,1038,0
14452.5,521.5,59561,0
14488.5,915.5,30599,0
14503.5,1652,54452,0
14524,4446.5,31397,0
14524,3662,12482,0
14537,6824,3527,0
14564,3558,2121,0
14574,489,2077,0
14589,2046,49963,0
14626,2157,327,0
14650.5,41825,1312,1
14709.5,163594,3867,1
14735.5,2685,5638,0
14746,7030,4575,0
14760,67298,131,1
14767,4523,1420,1
14820,58354,329.5,1
14832,19460,233,1
14835,34128,736.5,1
14846,1874,123725,0
14865,1139,2181,0
14872.5,232,41718,0
14876.5,54747,149.5,1
14877,11593,915,0
14899.5,3824,52049,0
14906.5,2800.5,34264,0
14912.5,129280,391,1
14927.5,3997.5,14357,0
15028.5,2416,10861,0
15032,6544,4154,1
15051.5,56164,2599.5,1
15068.5,1530,46234,0
15086.5,339,34938,0
15101,9426,1669,1
15113,1694,2276,0
15139,1346.5,40328,0
15180,9170,993,1
15195.5,112265,2268.5,1
15207,283,1092,0
15276.5,82.5,46192,0
15313.5,79415,1884,1
15314,4814,1178,1
15325,2088.5,22267,0
15351.5,4926,36459,0
15382,101028,94672,0
15419,2543,5845,0
15424.5,1632,59247,0
15467,4520.5,57202,0
15520.5,2977,51640,0
15537,2593,15348,0
15537,5160,13486,0
15545,4359,64754,0
15573.5,2298,88699,0
15597,3045,485,0
15611.5,2267,6714,0
15624.5,636,3325,0
15680,1138,2516,0
15681.5,91622,1135.5,1
15721,61331,1806.5,1
15723,60415,59.5,1
15732.5,593.5,40698,0
15751,130383,1095,1
15757.5,56247,1047,1
15762,8552,1691,1
15840,12469,902,1
15847.5,143738,2358,1
15849,16686,61066,1
15870,6975,480,1
15889,219,25227,0
15896.5,1034.5,29406,0
15907.5,48582,2969.5,1
15914,4032.5,42038,0
15942.5,43253,371.5,1
15947,10817,1183,0
15959,15538,1374,0
16034,43538,214,1
16045.5,13924,1940,1
16064,10424.5,55677,0
16074,1585.5,59112,0
16081.5,4529,34368,0
16083,11687,2758,1
16096,2611.5,67033,0
16112.5,72909,15121,1
16185,1648,596,0
16197,92335,43883,0
16233,2172,69052,0
16235,5912.5,15364,0
16246.5,97425,1001.5,1
16249,4221,6404,0
16259,1330,650,0
16313,9794,1285,1
16322,10908,848,1
16351,40648,2707,1
16363.5,36942,402.5,1
16399.5,3118.5,22475,0
16403,1382,1765,0
16473,5249,453,0
16482,4537.5,35302,0
16511,2933,839,0
16562.5,2289,17376,0
16589.5,964.5,42609,0
16620.5,1277,46596,0
16628,69099,2852.5,1
16632,10487,38,1
16633,2530,8693,0
16644,3573.5,37040,0
16677,83735,2342,1
16694,68553,3061.5,1
16709,4157,660,0
16709,66580,2287.5,1
16709.5,3535,48071,0
16724.5,86454,22754,1
16761,22411,2286,1
16762,10471,541,1
16780,3445,1336,0
16823,3315,3703,0
16881.5,58528,1401,1
16911,1995,55931,0
16954.5,4169.5,35217,0
17001.5,577,28257,0
17030,2097.5,34649,0
17038,23127,3941,1
17072.5,85830,585,1
17084.5,2726.5,68057,0
17102,2062,35009,0
17112,1296,848,0
17123.5,6889.5,38469,0
17184,5119,561,0
17216,564.5,56608,0
17220,69002,2040,1
17254.5,2634,42390,0
17255.5,3159,22302,0
17263,2479,576,0
17269,90693,4533,1
17279.5,105132,35,1
17295,72683,89329,0
17369,2859.5,60220,0
17381,71829,64252,0
17444,2772,52582,0
17479,6100,2349,0
17522.5,6848,45284,0
17525.5,1789.5,19560,0
17560.5,128,54898,0
17625.5,104278,38739,0
17686,1641.5,45311,0
17691,5478,24115,0
17742.5,2624.5,64218,0
17765.5,3122.5,36650,0
17811,3810,2665,0
17931,20857,678.5,1
17946,1285.5,44820,0
17949.5,3855.5,20497,0
17951,4066,70452,0
17979,3970,910,0
17996.5,7358.5,79524,0
18008.5,6584,802.5,1
18029.5,707,41522,0
18034,549.5,10251,0
18090,11323,206,1
18109.5,71476,49582,1
18138,28986,673,1
18158,1700.5,51930,0
18170.5,9146,3288.5,1
18196.5,1741.5,61519,0
18239.5,5007,11449,0
18260.5,98131,1652.5,1
18273,1978,55350,0
18275,840,19042,0
18294,1733,3220,0
18321,2943,23499,0
18346.5,1393,55177,0
18351.5,59374,414.5,1
18359.5,6173,1739,1
18373,1513,19298,0
18384,9698,52786,0
18451,14961,188,1
18452,1810,47677,0
18467,109204,2197,1
18467.5,37002,258.5,1
18472,4945,1152,0
18479.5,99991,1021.5,1
18483,2828,8366,0
18499,3315.5,39768,0
18500.5,98607,45032,0
18526,4300,103646,0
18570,991,27212,0
18624,21955,1668,1
18643,9568,1762,1
18692,3286.5,41632,0
18695.5,6504,33825,0
18702.5,49385,56092,1
18719,9345,2644,1
18747,2730,72053,0
18751.5,63178,1663,1
18771,20399,1809,1
18841.5,1486.5,71637,0
18935.5,3424,56235,0
18941.5,545,26403,0
18971,82489,2121.5,1
19031,3922,25529,0
19076,16767,864,1
19111,1761,57506,0
19117,1765,853,0
19123,5126,666,1
19132,1452.5,15781,0
19147,10868,584,1
19153,4917.5,58445,0
19175,6784,25351,0
19178.5,100396,2279,1
19197,18881,1159,1
19198,5615,8321,1
19200,10163,47436,0
19242.5,5016.5,38574,0
19254.5,46476,2685.5,1
19255.5,3095.5,44371,0
19277,1845,68950,0
19332,945.5,35899,0
19391.5,4049,5997,0
19460,3633,62643,0
19463,2914,3752,0
19468,901.5,66246,0
19496,3412,2417,0
19553,31406,1956,1
19557,2474,3378,0
19591.5,912.5,49549,0
19600.5,2077,52441,0
19627,1001,119801,0
19652,4385.5,51207,0
19658.5,114941,2561,1
19667.5,2291,31945,0
19781,106069,630.5,1
19805,36486,179,1
19824,732.5,27779,0
19827.5,6091,56780,0
19877,109111,3138.5,1
19969,11924,662,1
20030,208.5,26510,0
20039.5,2686,26288,0
20071.5,1354,40389,0
20100,2633,17243,0
20105.5,2820,54395,0
20107,3202,10643,0
20111,3922.5,10594,0
20113,12232,874,1
20197,405.5,20908,0
20203.5,47828,1218.5,1
20227.5,103011,553.5,1
20235,5636,43072,0
20272,3358,37309,0
20281.5,954,42568,0
20318,846.5,24897,0
20373.5,4674,45750,0
20376,2166,33345,0
20390,2000,2555,0
20395,3135,3001,0
20431,2523.5,30396,0
20439.5,57349,1602,1
20452,7595,201,1
20457,1959,20968,0
20481.5,17422,54249,1
20508.5,4518,50037,0
20555.5,49870,1632,1
20564,24708,3549,1
20626,2842,1149,0
20636.5,3108.5,12817,0
20659,19847,1069,1
20676,3389,7849,0
20677,2046,2532,0
20685,81636,2239.5,1
20727.5,76512,1888,1
20751,547,48504,0
20753,16709,33,1
20759,18683,2854,1
20869,3833,4260,0
20878,21570,1840,1
20881,14886,2471,1
20946.5,1650,17926,0
20959,618,65325,0
20979,4889.5,36258,0
20987.5,1611,42583,0
20997,33127,62443,0
20999.5,59258,44751,0
21026,61391,179,1
21057.5,23207,940.5,1
21065,5034,155,0
21067,20521,2005,1
21106.5,4791,51317,0
21119,39784,1073.5,1
21186,8887,402,0
21207,3181.5,65006,0
21222,29279,4281.5,1
21227.5,6117.5,19959,0
21237,2743,11559,1
21244.5,2324,1275,0
21249.5,16846,1241,1
21278,42204,63856,0
21278,3551,63006,0
21289,3643,3045,0
21320,27529,24898,0
21324,2269.5,28931,0
21328,3989,61593,0
21330,5133.5,57855,0
21393.5,1847.5,64124,0
21425,6235,1093,1
21491,7994,688,0
21496,343.5,17078,0
21522,2406,559,0
21542,1658,8195,0
21562,8294,17631,1
21601,51521,1830,1
21703,26870,2367,1
21704.5,5202,29018,0
21774.5,856.5,36596,0
21780.5,2564.5,55132,0
21847.5,4265,24158,0
21850.5,98114,1021,1
21861,338,32931,0
21889.5,4727.5,19893,0
21901,1777.5,57989,0
21911.5,5835,53844,0
21919,4657,1059,1
21922.5,6740,32542,0
21936,11009,737,1
21983,496,37793,0
21991.5,27250,2900,1
22008,2601.5,23686,0
22074,1536,7052,0
22082,8814,2194,1
22090.5,640.5,22928,0
22187,127565,888.5,1
22196,2396.5,5786,0
22205,3869.5,29037,0
22238,2895.5,24182,0
22258,77645,1720.5,1
22279,115307,414,1
22292,15775,2896,1
22294,8626,53711,0
22302,3500.5,40643,0
22351.5,1164,59043,0
22379,13567,1465,1
22402,12144,3252,1
22417.5,497,16627,0
22419,9167.5,64456,0
22437,2799.5,70069,0
22454,2958,34084,0
22460,2991.5,51548,0
22467,45828,36,1
22470,3029.5,47192,0
22481.5,4267,49857,0
22510,3,4407,0
22525.5,59323,1849,1
22555,54472,989.5,1
22557,2674,75007,0
22562,1393,1801,0
22614,131202,154.5,1
22652,99507,3074.5,1
22652.5,4005.5,8736,0
22674,4754,269,0
22705,1988,118,0
22715.5,1476.5,24525,0
22717,5798.5,21474,0
22720,4533,1752,0
22722.5,1912,26057,0
22728,128.5,20637,0
22768,31673,473.5,1
22782,1939,8164,0
22873,2362,5343,0
22886.5,132281,1365,1
22893,1617,9927,0
22930.5,6772,38391,0
22951.5,26958,439,1
22952.5,78,52286,0
22977,4453,52970,0
22987.5,437,32311,0
23005,7684,2405,1
23121,2006,2601,0
23209,1783,2320,0
23227.5,3314.5,31154,0
23250,1981,7332,0
23326,1047.5,23120,0
23333.5,1628.5,48206,0
23344,4886,61359,0
23355,2886,266,0
23362.5,8281,32060,0
23368,218,3157,0
23388.5,109766,2100,1
23401,3444,4324,0
23447.5,68891,56770,1
23517.5,4007.5,55580,0
23523,1660,6114,0
23568,206,67975,0
23590,59743,342,1
23612.5,58840,1403.5,1
23616.5,99672,2344.5,1
23663,7561,214,1
23681,4895.5,52555,0
23694,9053,1031,1
23745,593,4634,0
23763.5,441,41577,0
23770,93884,52832,0
23773,2548,6386,0
23788.5,87018,1255,1
23795,1573,1960,0
23829,5508,52614,0
23861,49729,714.5,1
23882.5,2146,46296,0
23890,3182,54453,0
23917,5230,7888,0
23973.5,69104,550,1
24027,56,48449,0
24028,3016.5,50415,0
24066.5,76661,366.5,1
24087.5,670.5,48409,0
24089,2406,2046,0
24103.5,248.5,29638,0
24127.5,54046,86.5,1
24139.5,25775,493.5,1
24148,1197.5,46264,0
24170,31556,857,1
24189,4602,1066,1
24194.5,597,67846,0
24244,433,23836,0
24253.5,102764,274,1
24270,23747,1042.5,1
24297,3627,51416,0
24365,6901.5,62364,0
24374,56956,57,1
24375,14316,3141,0
24387,114088,1553.5,1
24446,7398,1504,1
24479,3394.5,64572,0
24502,127710,14250,1
24513.5,84510,1514,1
24519,7305,2279,0
24522.5,2966,19248,0
24524,2469,8853,0
24548.5,100137,800,1
24561,3943,20718,0
24566.5,4421,33536,0
24583,2450,63949,0
24686.5,81427,1673.5,1
24696,6360,824,1
24748.5,108102,653,1
24794.5,2210,35290,0
24807,34164,1490.5,1
24847.5,52152,432,1
24880,2876,58547,0
24895,3179,39863,0
24986.5,9772,2040,1
24998,3943.5,56792,0
25019.5,4209.5,63910,0
25026.5,92569,64515,1
25043,5956,2033,0
25057,2958.5,32696,0
25060.5,49136,1344.5,1
25068,1412.5,16578,0
25069,1677.5,35058,0
25140,6550,909,0
25177.5,4208,58600,0
25180.5,2437.5,1735,0
25202,49205,66.5,1
25212,17569,805,1
25245.5,1817,6934,0
25281,9694,1293,1
25284,1677,982,0
25320.5,3443,7596,0
25388,11107,1148,0
25410.5,696.5,9397,0
25443.5,6732.5,31606,0
25449.5,86327,1970,1
25472.5,53317,771.5,1
25503,2112.5,43057,0
25550,4163.5,9162,0
25570.5,7198,12408,0
25580.5,3759,23976,0
25587,12914,42521,1
25594,96968,418.5,1
25604,2286.5,29623,0
25607,1589,68501,0
25623,638.5,53340,0
25704,3997.5,26732,0
25743,2576,3975,0
25755.5,105411,72000,0
25820.5,334,52977,0
25822.5,101472,66223,0
25845,1323,58805,0
25849,7292.5,32051,0
25879,8713,8132,1
25911,28540,869,1
25924,1692,37917,0
25933,209.5,45315,0
25983,970,59413,0
26059,36886,2407,1
26059.5,93189,1487,1
26117,46510,40652,0
26173,34773,3963.5,1
26304.5,74395,1925.5,1
26336,3629.5,69202,0
26348,86008,44475,0
26360.5,59169,62621,0
26382,11912,74267,0
26425.5,3221,21443,0
26438,12477,1920,1
26490.5,887,40932,0
26499.5,81995,28236,0
26518,3950,19457,0
26552.5,481.5,46407,0
26573,2397,45616,0
26607,930.5,17593,0
26607.5,4273.5,20877,0
26609.5,21629,879,1
26616.5,63028,43412,0
26617,488.5,42724,0
26617.5,34211,1803.5,1
26728.5,1918,42794,0
26759,416.5,47366,0
26794,96059,1192.5,1
26809,54742,1252,1
26816,2082,6539,0
26837.5,73355,1377,1
26887,2189.5,46109,0
26894.5,111721,436,1
26914.5,3975,34005,0
26944,835,41773,0
26959,4655,62967,0
26980,4445.5,47719,0
26986.5,413.5,34706,0
27010.5,298,32428,0
27179,485.5,21558,0
27206,26839,1234,1
27242.5,57920,1718,1
27246,89977,1578.5,1
27265.5,85420,550.5,1
27312.5,71859,52095,0
27321,30091,120,1
27399,2537.5,47954,0
27409.5,9917,32331,0
27437,4203,69668,0
27444,1297.5,46232,0
27506,13462,1256,1
27542,28921,1798,1
27549,2251,38233,0
27676,2801,51129,0
27739.5,1470.5,53700,0
27741.5,5377,43762,0
27777,2475,2216,0
27908,84871,416,1
27943.5,5173.5,20391,0
27950,4978,47655,0
27968,982,18984,0
28027,14982,3095,1
28053,4061.5,21348,0
28109,10099,2205,1
28130,875,64733,0
28139,1447,2208,0
28160,112449,2826.5,1
28178,6793,24077,0
28187.5,2299,18099,0
28192.5,107037,2316,1
28201.5,74351,520.5,1
28235,7041,11422,0
28256,9212,1759,1
28316.5,3852.5,24434,0
28327.5,5485,24160,0
28338.5,6577,41684,0
28385.5,47161,348.5,1
28453,61139,70940,0
28479,79.5,11258,0
28482,30210,36805,0
28502.5,4307.5,24915,0
28576,3838,638,0
28600.5,51172,352,1
28616.5,4502.5,35305,0
28655.5,236,48071,0
28743.5,1724.5,16840,0
28743.5,288,60416,0
28784,4159.5,55444,0
28797.5,5004,37461,0
28852.5,2797.5,40731,0
28856.5,3842.5,33758,0
28872.5,107234,814,1
28918.5,67495,9891,0
28957.5,73765,196,1
28987.5,9369.5,13212,0
28995,4172,830,0
29001,1284.5,5855,0
29013,1283.5,27004,0
29036,1655.5,45475,0
29044,76758,784,1
29054.5,12728,50600,0
29100.5,59351,2929,1
29204.5,71266,2456,1
29221.5,4833.5,19368,0
29266,2227,24274,0
29331.5,70689,1599.5,1
29471,2146,3881,0
29500.5,861,37073,0
29505.5,72141,1582.5,1
29523,81451,5383,1
29570,78336,1229,1
29586,2458,65742,0
29630.5,87965,182,1
29645,42716,1658.5,1
29670.5,1430.5,40804,0
29715.5,4570.5,16719,0
29770,6693,32299,0
29788,54941,1196,1
29803,25957,1158,1
29826.5,3714,24425,0
29880.5,104090,52224,0
29911.5,6440,41955,0
29933.5,1799,36474,0
29959.5,1731.5,12930,0
30001.5,1206.5,62063,0
30038,2135.5,58345,0
30046,338.5,59033,0
30111,1947,2436,0
30117,88086,1223,1
30125,1448.5,11268,0
30144,2226.5,29685,0
30181.5,3907,13317,0
30234,997,56846,0
30267,2271.5,20554,0
30281,3820,36032,0
30330,608.5,56960,0
30338.5,3942,54993,0
30339,23170,1277.5,1
30345.5,2988,30625,0
30364,1270.5,86380,0
30430.5,216,34784,0
30447.5,4248,57039,0
30514,15843,19701,0
30540,47221,83.5,1
30558.5,2054.5,22606,0
30564.5,82337,33784,0
30593,1838.5,43848,0
30602,3314.5,92214,0
30635.5,387,39103,0
30647,19858,4425,1
30656,2464,2369,0
30679,34636,756.5,1
30689.5,2355,18833,0
30755,4278.5,11330,0
30764,2013,10303,0
30784,6454,52195,0
30807.5,449.5,65103,0
30820,906.5,41339,0
30941,3805.5,36054,0
30970.5,66024,2410,1
30978.5,2671.5,29427,0
31036,5026,9806,0
31088.5,81988,878,1
31105.5,47346,2445,1
31143,1317.5,52620,0
31181,3842,8620,0
31314.5,475.5,8125,0
31372,644.5,43461,0
31379.5,68352,1375.5,1
31457,10685,880,1
31460.5,6279.5,55333,0
31481.5,134614,7044,1
31504,1504,21995,0
31546.5,624,55312,0
31577.5,31145,2889.5,1
31611,27861,23461,0
31616,4748,4686,0
31632,5091,220,0
31693,7396.5,153054,0
31696,5067.5,56913,0
31706,76002,57251,0
31790.5,69161,1323,1
31801.5,54020,70833,0
31811.5,7646,37176,0
31825,2907,31014,0
31830.5,5181,20239,0
31848,2078.5,22772,0
31849,5270,11762,0
31849.5,230,17095,0
31870,2128,13223,0
31878,60170,1043.5,1
31886,30243,437,1
31887,2294.5,75209,0
31918,5330,3443,0
31944,4040.5,10316,0
31946.5,4319,19125,0
31973.5,4581.5,21554,0
32051,1797.5,68564,0
32087,8280,3046,0
32089.5,1120.5,24050,0
32104,4859,62786,0
32210,21531,1740,1
32239,1862.5,23184,0
32241,64628,20969,0
32246,64052,1851,1
32292.5,59726,490,1
32298,3032,26489,0
32307,62100,49808,0
32312,19816,651,1
32316.5,4232.5,47853,0
32356,72904,22931,0
32400,1831.5,59136,0
32400,70586,3156.5,1
32425.5,3431,43483,0
32438,4669,94146,0
32464,63045,1030.5,1
32528,2497,62556,0
32533,2582,38281,0
32565,2857.5,65083,0
32613,76233,2155,1
32628,370.5,46501,0
32631.5,1367.5,46611,0
32718,1495,3242,0
32730.5,58522,205.5,1
32748,77628,760,1
32773.5,2827.5,10049,0
32787,1686.5,27407,0
32827.5,1113,5805,0
32891,6536,70939,0
32900,4044.5,56693,0
32913,3503,24815,0
32917,81491,678,1
32918.5,17395,29802,0
32983,24875,38054,0
33017.5,30215,304.5,1
33025,126,45628,0
